id,decision,expected_should_abstain,abstention_match_old,abstention_match_new,citation_coverage_old,citation_total_new,citation_coverage_new,fact_coverage_old,fact_total_new,fact_coverage_new
supplemental-qa-c01,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c02,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c03,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c04,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c05,answer,False,True,True,1.0,1,1.0,1.0,1,1.0
supplemental-qa-c06,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c07,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c08,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c09,answer,False,True,True,0.0,1,1.0,1.0,1,1.0
supplemental-qa-c10,answer,False,True,True,1.0,1,1.0,1.0,1,1.0
supplemental-qa-c11,answer,False,True,True,0.0,1,1.0,0.0,1,0.0
supplemental-qa-c12,answer,False,False,True,1.0,1,1.0,,3,0.0
supplemental-qa-c13,answer,False,False,True,1.0,1,1.0,,2,1.0
supplemental-qa-c14,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-c15,answer,False,True,True,1.0,1,1.0,0.3333333333333333,3,0.3333333333333333
supplemental-qa-c16,answer,False,True,True,0.0,1,1.0,0.0,2,0.0
supplemental-qa-c18,answer,False,True,True,1.0,1,1.0,0.0,1,0.0
supplemental-qa-c19,answer,False,False,True,0.0,6,0.0,,3,0.0
supplemental-qa-c20,answer,False,True,True,1.0,2,1.0,0.5,2,0.5
supplemental-qa-c23,answer,False,True,True,1.0,1,1.0,0.0,1,0.0
supplemental-qa-c25,source_conflict,False,False,False,1.0,1,1.0,,0,
supplemental-qa-g01,answer,False,True,True,1.0,1,1.0,1.0,1,1.0
supplemental-qa-g02,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-g03,answer,False,True,True,1.0,1,1.0,0.5,2,0.5
supplemental-qa-g04,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-g05,answer,False,True,True,1.0,1,1.0,1.0,1,1.0
supplemental-qa-g06,answer,False,True,True,0.0,1,1.0,1.0,2,1.0
supplemental-qa-g07,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-qa-g08,answer,False,True,True,1.0,1,1.0,0.8,5,0.8
supplemental-qa-g11,answer,False,True,True,1.0,1,1.0,0.6666666666666666,3,0.6666666666666666
supplemental-qa-g12,answer,False,False,True,1.0,1,1.0,,4,0.25
supplemental-qa-g13,answer,False,False,True,0.0,1,0.0,,4,0.5
supplemental-qa-g14,answer,False,False,True,1.0,1,1.0,,4,0.25
supplemental-qa-g15,answer,False,True,True,0.0,1,1.0,0.6666666666666666,3,0.6666666666666666
supplemental-qa-g16,answer,False,True,True,1.0,1,1.0,0.0,2,0.0
supplemental-qa-g17,answer,False,True,True,1.0,1,1.0,0.3333333333333333,3,0.3333333333333333
supplemental-qa-g18,answer,False,True,True,1.0,1,1.0,0.0,4,0.0
supplemental-qa-g19,answer,False,False,True,1.0,2,1.0,,3,0.6666666666666666
supplemental-qa-g20,answer,False,True,True,1.0,1,1.0,0.6666666666666666,3,0.6666666666666666
supplemental-qa-g21,answer,False,True,True,1.0,1,1.0,0.2,5,0.2
supplemental-qa-g22,abstain,True,False,False,,0,,,0,
supplemental-qa-g23,answer,False,False,True,0.0,1,1.0,,3,0.0
supplemental-qa-g24,abstain,True,False,False,,0,,,0,
supplemental-qa-g25,answer,False,True,True,0.5,2,0.5,0.0,3,0.0
supplemental-alignment-h11,answer,False,True,True,1.0,1,1.0,1.0,3,1.0
supplemental-alignment-h13,answer,False,True,True,1.0,1,1.0,0.6666666666666666,3,0.6666666666666666
supplemental-alignment-h15,answer,False,True,True,1.0,1,1.0,0.6666666666666666,3,0.6666666666666666
supplemental-alignment-h16,answer,False,True,True,1.0,1,1.0,0.3333333333333333,3,0.3333333333333333
supplemental-alignment-h17,answer,False,True,True,1.0,1,1.0,0.0,3,0.0
supplemental-alignment-h18,answer,False,True,True,1.0,1,1.0,0.3333333333333333,3,0.3333333333333333
supplemental-alignment-h19,answer,False,True,True,1.0,1,1.0,0.0,1,0.0
supplemental-alignment-h2,answer,False,True,True,1.0,1,1.0,1.0,2,1.0
supplemental-alignment-h20,answer,False,True,True,0.0,1,0.0,0.0,2,0.0
supplemental-alignment-h21,answer,False,True,True,1.0,1,1.0,1.0,3,1.0
supplemental-alignment-h22,answer,False,True,True,1.0,1,1.0,0.0,1,0.0
supplemental-alignment-h24,answer,False,True,True,1.0,1,1.0,0.6666666666666666,3,0.6666666666666666
