id,query,fact_coverage_base,fully_covered_base,fact_coverage_pc,fully_covered_pc
G01,'한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보시스템 고도화' 사업의 발주기관은 어디인가요?,1.0,True,1.0,True
G02,'2024년 버스정보시스템 확대 구축 및 기능개선 용역'의 사업예산은 얼마인가요?,1.0,True,1.0,True
G03,'서민금융진흥원 서민금융 채팅 상담시스템 구축'의 전자입찰서 및 제안서 접수 마감은 언제인가요?,0.0,False,0.0,False
G04,'2025년 통합접수시스템 운영'의 사업기간은 언제부터 언제까지인가요?,1.0,True,1.0,True
G05,부산관광공사의 '경영정보시스템 기능개선'은 공사·물품·용역 중 어떤 유형인가요?,1.0,True,1.0,True
G06,경희대학교 산학협력단 정보시스템 운영 용역의 관련 문의 전화번호와 이메일은 무엇인가요?,1.0,True,1.0,True
G07,울산광역시 버스정보시스템 확대 구축 및 기능개선 사업의 계약방법은 무엇인가요?,0.0,False,1.0,True
G08,한영대학교 트랙운영 학사정보시스템 고도화 사업에서 제안 관련 제출물의 수량은 어떻게 되나요?,0.0,False,0.8,False
G09,'2025년 통합접수시스템 운영'의 예정 사업 시작일은 언제인가요?,1.0,True,1.0,True
G10,부산관광공사 경영정보시스템 기능개선 사업에는 지역 제한이 있나요?,0.3333333333333333,False,0.6666666666666666,False
G11,자본금 5억원이고 주된 영업소가 서울에 있는 중소 소프트웨어사업자가 부산관광공사 경영정보시스템 기능개선 입찰에 참여할 수 있나요?,0.0,False,0.3333333333333333,False
G12,울산광역시 버스정보시스템 확대 구축 및 기능개선 사업에서 하도급이 가능한가요? 가능하다면 핵심 제한은 무엇인가요?,0.25,False,0.25,False
G13,"'2025년 통합접수시스템 운영'의 기술평가와 가격평가 비중은 어떻게 되며, 기술평가 내부 배점은 어떻게 나뉘나요?",0.75,False,1.0,True
G14,울산광역시 버스정보시스템 확대 구축 및 기능개선 사업에 공동수급체로 참여할 수 있나요? 구성 조건도 알려주세요.,0.25,False,0.25,False
G15,CSV에는 서울시립대학교 학업성취도 다차원 종단분석 통합시스템 1차 고도화 용역의 사업금액이 0원으로 되어 있습니다. 원문 기준 실제 사업비는 얼마인가요?,0.6666666666666666,False,0.6666666666666666,False
G16,수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 사업의 계약보증금 기준은 무엇인가요?,0.0,False,0.0,False
G17,수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입찰이 재입찰 또는 재공고입찰로 진행되면 최초 조건을 변경할 수 있나요?,0.3333333333333333,False,1.0,True
G18,부산관광공사 경영정보시스템 기능개선 사업의 제안서 분량과 기본 형식 규정은 무엇인가요?,0.0,False,0.0,False
G19,"울산광역시 버스정보시스템 확대 구축 사업과 서민금융 채팅 상담시스템 구축 사업 중 입찰 마감일이 더 빠른 사업은 무엇이며, 두 사업의 예산 차이는 얼마인가요?",0.3333333333333333,False,0.3333333333333333,False
G20,부산관광공사 경영정보시스템 기능개선 사업에서 낙찰자가 협상 성립 후 10일 이내 계약을 체결하지 않으면 어떤 불이익이 있나요?,1.0,True,1.0,True
G21,최근 6개월 내 유사사업 실적이 없는 업체가 '2025년 통합접수시스템 운영' 입찰에 참여할 수 있나요?,0.2,False,0.8,False
G23,CSV에는 서울시립대학교 학업성취도 시스템 원문 텍스트가 220자만 저장되어 있습니다. 실제 PDF 원문에서 요구하는 제안서 본문과 요약서의 페이지 제한은 각각 얼마인가요?,0.6666666666666666,False,0.6666666666666666,False
G25,"데이터셋에서 사업명에 '구축'이 포함된 사업만 대상으로 할 때, 서민금융 채팅 상담시스템 구축 사업(230,000,000원)과 예산 차이가 가장 작은 다른 사업은 무엇인가요?",0.0,False,0.0,False
C01,평택시가 정류장 이용객에게 실시간 운행정보를 제공하려고 추진한 2024년 사업에는 예산이 얼마나 배정됐나요?,1.0,True,1.0,True
C02,평택시의 실시간 버스 도착정보 제공 체계를 새로 만드는 2024년 사업은 착수 후 언제까지 완료해야 하나요?,1.0,True,1.0,True
C03,GKL이 임직원 협업과 전자결재 환경을 새로 구축하려는 2024년 정보화 사업에 책정한 금액은 얼마인가요?,1.0,True,1.0,True
C04,GKL이 사내 협업 업무 환경을 새로 만드는 사업은 어떤 경쟁 방식과 낙찰 절차로 계약하나요?,1.0,True,1.0,True
C05,한국농어촌공사가 네팔에서 물 관리 정보를 디지털화하기 위해 추진하는 시범 시스템은 착수 후 얼마 동안 수행하나요?,1.0,True,1.0,True
C06,한국농어촌공사가 네팔의 수자원 정보를 관리할 시범 시스템을 만드는 데 편성한 예산은 얼마인가요? 세금 포함 여부도 알려주세요.,1.0,True,1.0,True
C07,인천공항운영서비스가 회계·인사 등 경영업무를 통합할 차세대 시스템을 구축하는 데 걸리는 기간은 얼마인가요?,1.0,True,1.0,True
C08,"인천공항운영서비스가 경영업무를 하나로 통합하는 차세대 시스템에 투입하는 금액은 얼마이며, 부가가치세는 별도인가요?",1.0,True,1.0,True
C09,한국철도공사가 열차 운행기록을 자동으로 분석하는 체계를 개선하는 용역은 착수 후 며칠 동안 진행되나요?,1.0,True,1.0,True
C10,한국수자원공사가 건설 업무를 하나로 관리하는 시스템을 고도화하는 과업은 착수 후 얼마나 수행하나요?,1.0,True,1.0,True
C11,한국철도공사 운행정보기록 자동분석시스템 개량 사업은 하도급이 가능한가요?,0.0,False,0.0,False
C12,GKL 그룹웨어 시스템 구축사업은 하도급이 가능한가요? 공동수급 조건도 알려주세요.,0.3333333333333333,False,1.0,True
C13,인천공항운영서비스 차세대 ERP시스템 구축 사업은 공동계약이나 하도급이 가능한가요?,0.5,False,0.5,False
C14,평택시 2024년도 버스정보시스템(BIS) 구축사업에서 기술능력 평가점수가 해당 평가분야 배점한도의 85% 미만이면 협상대상이 될 수 있나요?,1.0,True,1.0,True
C15,국방과학연구소 '기록관리시스템 통합 활용 및 보안 환경 구축' 사업에 공동수급체 소속이 아닌 외부 인력을 투입해도 되나요? 투입할 경우 하도급으로 처리되나요?,0.6666666666666666,False,0.6666666666666666,False
C16,한국철도공사 운행정보기록 자동분석시스템 개량 사업은 왜 제안서 보상 대상이 아닌가요?,0.0,False,0.5,False
C17,인천공항운영서비스 차세대 ERP시스템 구축 사업의 기술평가와 가격평가 비율은 어떻게 되나요?,0.5,False,0.5,False
C18,한국농어촌공사 네팔 수자원관리 정보화사업 Pilot 시스템 구축용역에 참여하려면 나라장터(G2B) 등록을 언제까지 마쳐야 하나요?,0.0,False,0.0,False
C19,"다음 6개 사업의 기술평가와 가격평가 비율을 비교해주세요. 평가비율이 같은 사업끼리 묶고, 비율 차이의 이유가 각 문서에 나와 있는지도 알려주세요. 비교 대상은 평택시 BIS 구축사업, 인천공항운영서비스 차세대 ERP 구축사업, 한국철도공사 운행정보기록 자동분석시스템 개량 사업, 국방과학연구소 기록관리시스템 통합 활용 및 보안 환경 구축 사업, GKL 그룹웨어 구축사업, 한국농어촌공사 네팔 수자원관리 Pilot 시스템 구축용역입니다.",0.0,False,0.0,False
C20,GKL 그룹웨어 사업과 인천공항운영서비스 ERP 사업의 예산 차이는 얼마이며 어느 사업이 더 큰가요?,0.0,False,0.0,False
C21,한국농어촌공사 아세안+3 AFSIS 3단계 협력 캄보디아 PMC 용역 문서는 현재 파이프라인에서 텍스트 추출이 정상적으로 완료되나요?,0.0,False,0.0,False
C22,대전대학교 MILE 전산시스템 구축 문서는 현재 파이프라인에서 텍스트 추출이 정상적으로 완료되나요?,0.0,False,0.0,False
C23,한국농어촌공사 네팔 수자원관리 정보화사업 Pilot 시스템 구축용역의 계약이행보증금 비율이 문서에 명시되어 있나요? 명시되어 있다면 몇 퍼센트인가요?,0.0,False,0.0,False
C24,한국철도공사 운행정보기록 자동분석시스템 개량 사업에서 공동수급 시 최소지분율과 구성원 수 상한은 어떻게 되나요?,1.0,True,1.0,True
B1,철도 시설을 가상 공간에 구현하기 위한 디지털 전환 전략을 수립하는 공공기관 사업은 무엇인가요?,1.0,True,1.0,True
B2,기상재해 정보를 한곳에 모으고 경보까지 연계하려는 봉화군 사업은 무엇인가요?,1.0,True,1.0,True
B3,병원 전산 장애나 재해에 대비해 진료정보를 복구할 체계를 마련하는 적십자 관련 용역은 무엇인가요?,1.0,True,1.0,True
B4,학생들의 교과 밖 활동을 관리할 온라인 환경을 새로 만드는 을지대 사업은 무엇인가요?,1.0,True,1.0,True
B5,방사선 방호 규정을 지키고 액체유출물의 피폭량 계산 기능을 개선하기 위해 원자력 연구기관이 추진한 사업명은 무엇인가요?,1.0,True,1.0,True
B6,스마트시티의 CCTV 영상을 분석해 사고와 홍수를 감지하려는 평택 사업이 있나요? 있다면 어떤 사업인지 알려주세요.,1.0,True,1.0,True
B7,기존 학사 업무와 포털 서비스를 차세대 환경으로 통합하려는 고려대 사업은 무엇인가요?,1.0,True,1.0,True
B8,평택시가 정류장 이용객에게 실시간 운행정보를 제공하기 위해 추진한 2024년 사업은 무엇인가요?,1.0,True,1.0,True
B9,의료기기 연구개발 정보를 한곳에서 관리하도록 기능을 개선하는 보건산업 분야 사업은 무엇인가요?,1.0,True,1.0,True
B10,코레일이 승차권 예매·발매 플랫폼의 개편 방향을 세우기 위해 진행한 계획수립 용역은 무엇인가요?,1.0,True,1.0,True
B11,예산이 1억 이상인 사업 알려줘,0.046875,False,0.0625,False
B12,학교(대학교/대학/과학기술원)에서 발주한 시스템 사업 알려줘,0.16666666666666666,False,0.16666666666666666,False
