id,query,decision,expected_should_abstain,answer,abstention_match,citation_matched,citation_total,citation_coverage,fact_matched,fact_total,fact_coverage
supplemental-qa-c01,평택시가 정류장 이용객에게 실시간 운행정보를 제공하려고 추진한 2024년 사업에는 예산이 얼마나 배정됐나요?,answer,False,"예산은 ￦999,494,600원(부가세 포함)입니다.
[근거: 경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c02,평택시의 실시간 버스 도착정보 제공 체계를 새로 만드는 2024년 사업은 착수 후 언제까지 완료해야 하나요?,answer,False,"착수일로부터 2024년 10월 31일까지 완료되어야 합니다.

[근거: 경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c03,GKL이 임직원 협업과 전자결재 환경을 새로 구축하려는 2024년 정보화 사업에 책정한 금액은 얼마인가요?,answer,False,"사업예산은 1,515,000천원(부가세 포함)입니다.

[근거: 그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c04,GKL이 사내 협업 업무 환경을 새로 만드는 사업은 어떤 경쟁 방식과 낙찰 절차로 계약하나요?,answer,False,"제한경쟁입찰 방식으로, 낙찰은 ""협상에 의한 계약""으로 체결합니다. 평가방식은 기술평가 90% / 가격평가 10%입니다.  
[근거: 그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c05,한국농어촌공사가 네팔에서 물 관리 정보를 디지털화하기 위해 추진하는 시범 시스템은 착수 후 얼마 동안 수행하나요?,answer,False,"용역착수일로부터 6개월 동안 수행합니다.

[근거: 한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp]",True,1,1,1.0,1,1,1.0
supplemental-qa-c06,한국농어촌공사가 네팔의 수자원 정보를 관리할 시범 시스템을 만드는 데 편성한 예산은 얼마인가요? 세금 포함 여부도 알려주세요.,answer,False,"예산은 금181,913,000원이며 부가가치세(VAT) 포함입니다.  
[근거: 한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c07,인천공항운영서비스가 회계·인사 등 경영업무를 통합할 차세대 시스템을 구축하는 데 걸리는 기간은 얼마인가요?,answer,False,"계약 체결일로부터 9개월(안정화 기간 포함)입니다.

[근거: 인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c08,"인천공항운영서비스가 경영업무를 하나로 통합하는 차세대 시스템에 투입하는 금액은 얼마이며, 부가가치세는 별도인가요?",answer,False,"사업예산은 996,356,000원이며 부가가치세는 별도입니다.  
[근거: 인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c09,한국철도공사가 열차 운행기록을 자동으로 분석하는 체계를 개선하는 용역은 착수 후 며칠 동안 진행되나요?,answer,False,"착수일로부터 180일 동안 진행됩니다.

[근거: 한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp]",True,0,1,0.0,1,1,1.0
supplemental-qa-c10,한국수자원공사가 건설 업무를 하나로 관리하는 시스템을 고도화하는 과업은 착수 후 얼마나 수행하나요?,answer,False,"착수일로부터 365일간(12개월) 수행합니다.

[근거: 한국수자원공사_건설통합시스템(CMS) 고도화.hwp]",True,1,1,1.0,1,1,1.0
supplemental-qa-c11,한국철도공사 운행정보기록 자동분석시스템 개량 사업은 하도급이 가능한가요?,answer,False,제공된 한국철도공사 제안요청서에서는 본 사업의 하도급 허용 여부를 확인할 수 없습니다. [근거: 한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp],True,0,1,0.0,0,1,0.0
supplemental-qa-c12,GKL 그룹웨어 시스템 구축사업은 하도급이 가능한가요? 공동수급 조건도 알려주세요.,answer,False,"하도급 가능 여부: 제공된 문서에서 확인할 수 없습니다.  
공동수급(공동수급체) 관련 조건(문서에 명시된 내용): 공동수급체 결성과 관련한 공동수급 합의각서 양식([서식9])이 제시되어 있으며, 합의각서에는 공동수급체 대표자 및 구성원별 주사무소, 상호·성명(인), 사업자등록번호, 주민등록번호 등을 기재하도록 되어 있습니다. 또한 대표자용·참여인력용 보안서약서(서식10·서식11) 및 비밀유지계약서(서식12) 양식이 포함되어 있습니다. (공동수급의 구성원 수 제한·지분 비율 등의 세부 조건은 본 문서에서 확인할 수 없습니다.)  

[근거: 그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp]",False,1,1,1.0,0,0,
supplemental-qa-c13,인천공항운영서비스 차세대 ERP시스템 구축 사업은 공동계약이나 하도급이 가능한가요?,answer,False,"- 공동계약(공동수급/컨소시엄) 허용 여부: 제공된 문서에서 확인할 수 없습니다.  
- 하도급(재용역): 불허 — 제안서 유의사항에 ""본 용역은 제 3자에게 재용역이 불가함""으로 명시되어 있습니다.  

[근거: 인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp]",False,1,1,1.0,0,0,
supplemental-qa-c14,평택시 2024년도 버스정보시스템(BIS) 구축사업에서 기술능력 평가점수가 해당 평가분야 배점한도의 85% 미만이면 협상대상이 될 수 있나요?,answer,False,"아니요. 기술능력 평가점수가 해당 평가분야 배점한도의 85% 미만인 자는 협상대상에서 제외됩니다. 제안서에 따르면 우선협상대상자(협상적격자)는 종합평가 합산점수 70점 이상이면서 기술능력 평가점수가 배점한도의 85% 이상인 자로 규정되어 있으며, 기술능력 평가점수가 85% 미만인 자는 협상대상에서 제외된다고 명시되어 있습니다.  
[근거: 경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp]",True,1,1,1.0,2,2,1.0
supplemental-qa-c15,국방과학연구소 '기록관리시스템 통합 활용 및 보안 환경 구축' 사업에 공동수급체 소속이 아닌 외부 인력을 투입해도 되나요? 투입할 경우 하도급으로 처리되나요?,answer,False,"공동수급체 소속이 아닌 외부 인력은 하도급으로 간주될 수 있으며, 하도급 내역은 발주처의 승인(사전승인)을 받아야 합니다. (국과연 문서: “하도급은 발주처가 승인한 경우에 한하여 작성” / KOICA PMR-004: “제안사 소속이외의 인력은 하도급으로 간주…하도급 계약시 사전 승인”)  

[근거: 국방과학연구소_기록관리시스템 통합 활용 및 보안 환경 구축.hwp, KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp]",True,1,1,1.0,1,3,0.3333333333333333
supplemental-qa-c16,한국철도공사 운행정보기록 자동분석시스템 개량 사업은 왜 제안서 보상 대상이 아닌가요?,answer,False,"제공된 한국철도공사 제안요청서 문서에서는 본 사업이 제안서 보상 대상이 아닌 '이유'를 확인할 수 없습니다.  
참고로 제공된 한국수자원공사 문서에는 해당 사업이 ""소프트웨어 진흥법 제52조 및 『소프트웨어사업 계약 및 관리감독에 관한 지침』 제16조에 따라 제안서 보상대상사업에 해당하지 않으므로 제안서 보상을 실시하지 아니한다""고 명시되어 있습니다.  
[근거: 한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp, 한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp]",True,0,1,0.0,0,2,0.0
