id,query,method,mrr,rank_found,n_expected,top_hits,recall@1,coverage@1,ndcg@1,mrr@1,recall@3,coverage@3,ndcg@3,mrr@3,recall@5,coverage@5,ndcg@5,mrr@5,recall@10,coverage@10,ndcg@10,mrr@10
supplemental-qa-c01,평택시가 정류장 이용객에게 실시간 운행정보를 제공하려고 추진한 2024년 사업에는 예산이 얼마나 배정됐나요?,hybrid,1.0,1,1,"경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp | 울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp | 대한장애인체육회_2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 .hwp",True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c02,평택시의 실시간 버스 도착정보 제공 체계를 새로 만드는 2024년 사업은 착수 후 언제까지 완료해야 하나요?,hybrid,1.0,1,1,경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp | 울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c03,GKL이 임직원 협업과 전자결재 환경을 새로 구축하려는 2024년 정보화 사업에 책정한 금액은 얼마인가요?,hybrid,1.0,1,1,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp | 고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf | 인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c04,GKL이 사내 협업 업무 환경을 새로 만드는 사업은 어떤 경쟁 방식과 낙찰 절차로 계약하나요?,hybrid,1.0,1,1,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp | 재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발.hwp | 파주도시관광공사_종량제봉투 판매관리 전산시스템 개선사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c05,한국농어촌공사가 네팔에서 물 관리 정보를 디지털화하기 위해 추진하는 시범 시스템은 착수 후 얼마 동안 수행하나요?,hybrid,1.0,1,1,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp | 국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.hwp | 한국전기안전공사_전기안전 관제시스템 보안 모듈 개발 용역.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c06,한국농어촌공사가 네팔의 수자원 정보를 관리할 시범 시스템을 만드는 데 편성한 예산은 얼마인가요? 세금 포함 여부도 알려주세요.,hybrid,1.0,1,1,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp | 한국수자원공사_수도사업장 통합 사고분석솔루션 시범구축 용역.hwp | 한국농어촌공사_아세안+3 식량안보정보시스템(AFSIS) 3단계 협력(캄보디아.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c07,인천공항운영서비스가 회계·인사 등 경영업무를 통합할 차세대 시스템을 구축하는 데 걸리는 기간은 얼마인가요?,hybrid,1.0,1,1,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp | 세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공.hwp | 그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c08,"인천공항운영서비스가 경영업무를 하나로 통합하는 차세대 시스템에 투입하는 금액은 얼마이며, 부가가치세는 별도인가요?",hybrid,1.0,1,1,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축 .hwp | 고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf | 한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c09,한국철도공사가 열차 운행기록을 자동으로 분석하는 체계를 개선하는 용역은 착수 후 며칠 동안 진행되나요?,hybrid,1.0,1,1,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp | 한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp | 한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차).hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c10,한국수자원공사가 건설 업무를 하나로 관리하는 시스템을 고도화하는 과업은 착수 후 얼마나 수행하나요?,hybrid,1.0,1,1,한국수자원공사_건설통합시스템(CMS) 고도화.hwp | 한국수자원공사_용인 첨단 시스템반도체 국가산단 용수공급사업 타당성.hwp | (재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
supplemental-qa-c11,한국철도공사 운행정보기록 자동분석시스템 개량 사업은 하도급이 가능한가요?,hybrid,0.5,2,1,한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp | 한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp | 국민연금공단_2024년 이러닝시스템 운영 용역.hwp,False,0.0,0.0,0.0,True,1.0,0.6309297535714575,0.5,True,1.0,0.6309297535714575,0.5,True,1.0,0.6309297535714575,0.5
supplemental-qa-c12,GKL 그룹웨어 시스템 구축사업은 하도급이 가능한가요? 공동수급 조건도 알려주세요.,hybrid,0.5,2,1,인천광역시_도시계획위원회 통합관리시스템 구축용역.hwp | 그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp | 한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.hwp,False,0.0,0.0,0.0,True,1.0,0.6309297535714575,0.5,True,1.0,0.6309297535714575,0.5,True,1.0,0.6309297535714575,0.5
