category,doc_id,source,current_override,candidate_classification,candidate_snippet,action_needed
예산,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,raw_parsed,nan,no_info,"기 위한 자료로써 실제 입찰공고 시 사업금액,  과업내용, 평가항목, 제출서류 등은 변경될 수 있으니 반드시  확인하시기 바랍니다. 2023. 06. 담당 성명 소 속 전화번호 e-mail 이석준 서울시립대학교 (입학처) 02-6490-6176 lsjptrs@uos.ac.kr 사 업 명 학업성취도 다차원 종단분석 통합시스템 1차 고도화 주관기관 서 울 시 립 대 학 교   입 학 처  목",기존 override 값과 스니펫이 일치하는지 확인
예산,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,raw_parsed,400000000.0,candidate,"사업예산 : 금400,000,000원원(부가세포함)- 1차년도 : 금200,000,000원 이내- 2차년도 : 금200,000,000원 이내4. 계약방법 :협상에 의한 계약 (기술평가+가",기존 override 값과 스니펫이 일치하는지 확인
예산,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,raw_parsed,nan,no_info,"위한 마스터플랜(ISMP)을 수립, 사업예산(185억 제시) 및 상세 구축내용 도출     - (`13.1~`15.5) 차세대 여객영업시스템 구축(176억, 인프라 비용제외)      * 사업내용 : 예약발매, 상품판매, 수익관리, 영업관리, 경영정보시스템 재구축      - (`13.4~`13.9) 승차권 예약발매 이중화 시스템 구축(74억)     - (`17.6~`17.8) 예약발매 서",기존 override 값과 스니펫이 일치하는지 확인
예산,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차).hwp,raw_parsed,843000000.0,candidate,"사업예산 : 개발비 359백만원, H/W 484백만원(VAT 포함)* 예산항목 : 2000488-12030401 (본사(IT)자본FC-개발비),            2000488-1202",기존 override 값과 스니펫이 일치하는지 확인
예산,을지대학교_을지대학교 비교과시스템 개발.hwp,raw_parsed,nan,undisclosed,"있음   4. 추진방안    가. 사업예산 : 비공개 입찰      ❍ 사업예산은 공개하지 않으며, 수행업체에서 소요되는 비용을 산출하여 제안서 제출 시 함께 제출    나. 기술 대 가격 비율의 조정         ❍ 기술평가와 가격평가를 실시하여 종합평가점수로 평가           - 평가비율 : 기술평가(70%), 가격평가(30%)           - 종합평가점수  = 기술평가점수",기존 override 값과 스니펫이 일치하는지 확인
예산,대한상공회의소_기업 재생에너지 지원센터 홈페이지 개편 및 시스템 고.hwp,raw_parsed,nan,no_info,,기존 override 값과 스니펫이 일치하는지 확인
예산,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스.hwp,raw_parsed,nan,candidate,사업금액이 20억원 미만인 사업으로서 ｢소프트웨어 진흥법｣제48조 및 ｢중소 소프트웨어 사업자의 사업 참여 지원에 관한 지침｣ 제3조에 따라 대기업 및 중견기업은 소프트웨어사업자가 참여할,기존 override 값과 스니펫이 일치하는지 확인
예산,사단법인 보험개발원_실손보험 청구 전산화 시스템 구축 사업.hwp,raw_parsed,nan,undisclosed,한 계약   ※ 본 제안요청서에서는 사업예산이 포함되지 않음  2. 추진배경 및 필요성  □ 실손보험은 국민건강보험의 보완형으로 도입되어 ’23년말 국민 약 4천만명이 가입한 일상생활에 필수적인 보험상품으로 성장함   o 연간 약 1억건을 초과하는 보험금 청구와 지급이 이루어지고 있으나 복잡한 절차*로 인한 소비자 불편이 계속 문제점으로 지적됨 ①보험금 청구서류 확인 → ②요양기관에 서류발급,기존 override 값과 스니펫이 일치하는지 확인
마감일,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf,raw_parsed,NaT,no_info,"용평가등급이 없는  경우에는 입찰서 제출 마감일 전일까지 발급된 유효기간 내에 있는 가장  최근의 신용평가등급으로 평가한다. 다만, 합병 후 새로운 신용평가등급이  없는 경우에는 입찰공고일 이전에 평가하고 유효기간 내에 있는 신용평가 등급으로서 합병 대상자 중 가장 낮은 신용평가등급을 받은 자의 신용평 가등급으로 평가한다.          3. 추정가격이 고시금액 미만인 입찰에서 입찰공고일을",본문에 마감일 언급 없음 - 정말 미정일 가능성
마감일,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp,raw_parsed,NaT,no_info,입찰참가통지서에 기재된 입찰서 제출마감일시를 연기할 수 있다.    1. 제5조제2항의 규정에 의한 설명요구사항의 내용이 중대하여 연기가 불가피하다고 판단되는 경우    2. 기타 불가피한 사유로 인하여 지정된 일시에 입찰 또는 개찰을 실시하지 못한 경우   ②제1항의 규정에 의한 입찰연기의 경우에는 연기사유와 일시를 당초 방법과 동일한 방법으로 공고 또는 통지하여야 한다. 제14조(재입찰,본문에 마감일 언급 없음 - 정말 미정일 가능성
마감일,한국수자원공사_건설통합시스템(CMS) 고도화.hwp,raw_parsed,NaT,no_info,,본문에 마감일 언급 없음 - 정말 미정일 가능성
