id,query,method,mrr,rank_found,n_expected,top_hits,recall@1,coverage@1,ndcg@1,mrr@1,recall@3,coverage@3,ndcg@3,mrr@3,recall@5,coverage@5,ndcg@5,mrr@5,recall@10,coverage@10,ndcg@10,mrr@10
G01,'한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보시스템 고도화' 사업의 발주기관은 어디인가요?,hybrid,1.0,1.0,1,한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.hwp | 고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf | 서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G01,'한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보시스템 고도화' 사업의 발주기관은 어디인가요?,hybrid_rerank,1.0,1.0,1,한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.hwp | 서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.hwp | 고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G02,'2024년 버스정보시스템 확대 구축 및 기능개선 용역'의 사업예산은 얼마인가요?,hybrid,1.0,1.0,1,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp | 경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G02,'2024년 버스정보시스템 확대 구축 및 기능개선 용역'의 사업예산은 얼마인가요?,hybrid_rerank,1.0,1.0,1,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp | 경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G03,'서민금융진흥원 서민금융 채팅 상담시스템 구축'의 전자입찰서 및 제안서 접수 마감은 언제인가요?,hybrid,1.0,1.0,1,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축.hwp | 재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp | 한국생산기술연구원_2세대 전자조달시스템  기반구축사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G03,'서민금융진흥원 서민금융 채팅 상담시스템 구축'의 전자입찰서 및 제안서 접수 마감은 언제인가요?,hybrid_rerank,1.0,1.0,1,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축.hwp | 한국생산기술연구원_2세대 전자조달시스템  기반구축사업.hwp | 재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G04,'2025년 통합접수시스템 운영'의 사업기간은 언제부터 언제까지인가요?,hybrid,1.0,1.0,1,재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp | 을지대학교_을지대학교 비교과시스템 개발.hwp | 중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G04,'2025년 통합접수시스템 운영'의 사업기간은 언제부터 언제까지인가요?,hybrid_rerank,1.0,1.0,1,재단법인경기도일자리재단_2025년 통합접수시스템 운영.hwp | 사단법인 보험개발원_실손보험 청구 전산화 시스템 구축 사업.hwp | 중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G05,부산관광공사의 '경영정보시스템 기능개선'은 공사·물품·용역 중 어떤 유형인가요?,hybrid,1.0,1.0,1,부산관광공사_경영정보시스템 기능개선.hwp | 한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도.hwp | 한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G05,부산관광공사의 '경영정보시스템 기능개선'은 공사·물품·용역 중 어떤 유형인가요?,hybrid_rerank,1.0,1.0,1,부산관광공사_경영정보시스템 기능개선.hwp | 한국어촌어항공단_한국어촌어항공단 경영관리시스템(ERP·GW) 기능 고도.hwp | (사)부산국제영화제_2024년 BIFF & ACFM 온라인서비스 재개발 및 행사지원시.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G06,경희대학교 산학협력단 정보시스템 운영 용역의 관련 문의 전화번호와 이메일은 무엇인가요?,hybrid,1.0,1.0,1,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp | 남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp | 한국생산기술연구원_EIP3.0 고압가스 안전관리 시스템 구축 용역.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G06,경희대학교 산학협력단 정보시스템 운영 용역의 관련 문의 전화번호와 이메일은 무엇인가요?,hybrid_rerank,1.0,1.0,1,경희대학교_[입찰공고] 산학협력단 정보시스템 운영 용역업체 선정.hwp | 한국생산기술연구원_EIP3.0 고압가스 안전관리 시스템 구축 용역.hwp | 남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
G07,울산광역시 버스정보시스템 확대 구축 및 기능개선 사업의 계약방법은 무엇인가요?,hybrid,1.0,1.0,1,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역.hwp | 경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
