id,query,method,mrr,rank_found,n_expected,top_hits,recall@1,coverage@1,ndcg@1,mrr@1,recall@3,coverage@3,ndcg@3,mrr@3,recall@5,coverage@5,ndcg@5,mrr@5,recall@10,coverage@10,ndcg@10,mrr@10
visual-hwp-table-001,수문자료정보관리시스템(HDIMS) 재구축 용역(3단계)의 기술성 평가 구성표에서 정량적 평가와 정성적 평가의 소계 및 평가 방식은 각각 무엇인가?,hybrid,1.0,1.0,1,한국수자원조사기술원_수문자료정보관리시스템(HDIMS) 재구축 용역(3단계.hwp | 경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp | 남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
visual-hwp-table-002,"실시간통합연구비관리시스템(RCMS) 연계 모듈 변경 사업에서 입찰공고일 현재 4대 보험 납입 기준 보유인력이 정확히 20명인 업체는 보유인력 항목에서 몇 점을 받으며, 이 항목의 배점한도는 몇 점인가?",hybrid,0.3333333333333333,3.0,1,부산관광공사_경영정보시스템 기능개선.hwp | 경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역.hwp | 광주과학기술원_실시간통합연구비관리시스템(RCMS)  연계 모듈 변경 사업.hwp,False,0.0,0.0,0.0,True,1.0,0.5,0.3333333333333333,True,1.0,0.5,0.3333333333333333,True,1.0,0.5,0.3333333333333333
visual-hwp-table-003,"국방과학연구소 기록관리시스템 사업의 요구사항 목록 전체(렌더 9~10쪽)를 기준으로, 요구사항 수가 가장 많은 구분과 가장 적은 구분(동률 포함)은 무엇이며 각각 몇 건인가? 총 요구사항 수도 함께 답하라.",hybrid,0.25,4.0,1,그랜드코리아레저(주)_2024년도 GKL  그룹웨어 시스템 구축 용역.hwp | 국방과학연구소_대용량 자료전송시스템 고도화.hwp | 서울특별시교육청_서울특별시교육청 지능정보화전략계획(ISP) 수립(2차) .hwp,False,0.0,0.0,0.0,False,0.0,0.0,0.0,True,1.0,0.43067655807339306,0.25,True,1.0,0.43067655807339306,0.25
visual-hwp-figure-001,"국방과학연구소 기록관리시스템의 대상 시스템 현황 그림에서 웹서버 제품·버전, DBMS 제품·버전, Active/Standby 운영서버의 운영체제를 각각 답하라.",hybrid,0.0,,1,한국산업단지공단_산단 안전정보시스템 1차 구축 용역.hwp | 한국농수산식품유통공사_농산물가격안정기금 정부예산회계연계시스템 .hwp | 한국가스공사_[재공고]차세대 통합정보시스템(ERP) 구축.hwp,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0
visual-hwp-figure-002,네팔 수자원관리 Pilot 시스템의 운영체계 그림에서 GIDC의 Main server와 DWRI의 Secondary server 사이 백업 주기와 DWRI 서버 유지보수 주기는 각각 어떻게 표시되어 있는가?,hybrid,1.0,1.0,1,한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.hwp | (사）한국대학스포츠협의회_KUSF 체육특기자 경기기록 관리시스템 개발.hwp | 한국보육진흥원_연차별 자율 품질관리 시스템 기능개선.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
visual-pdf-table-001,"서울시립대학교의 학업성취도 다차원 종단분석 통합시스템 1차 고도화 용역에서, 유사사업 최대 실적의 규모비율이 정확히 70%라면 수행실적 금액의 환산점수는 몇 점인가?",hybrid,1.0,1.0,1,"서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf | 서울특별시 여성가족재단_(재공고, 협상) 서울 디지털성범죄 안심지원센.hwp | 서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf",True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
visual-pdf-table-002,"기초과학연구원의 중이온가속기용 극저온시스템 운전 용역에서, 연구원 승인이 필요하면서 ‘발생한 경우에만’ 제출하는 문서는 무엇이며 제출·회람·저장 조건은 무엇인가?",hybrid,1.0,1.0,1,기초과학연구원_2025년도 중이온가속기용 극저온시스템 운전 용역.pdf,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
visual-pdf-figure-001,서울시 지도정보 플랫폼 시스템 개념도에서 내부 지도정보 플랫폼으로 들어오는 데이터 종류 3가지와 시민용 스마트서울맵이 제공하는 대표 지도 서비스 2가지를 각각 말해라.,hybrid,1.0,1.0,1,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용.pdf,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
visual-pdf-table-003,서울시립대학교 학업성취도 다차원 종단분석 통합시스템 용역의 신인도 가점표에서 ‘약자기업 지원 및 정책적 지원’ 항목 중 1점 미만인 항목만 점수별로 묶어라.,hybrid,1.0,1.0,1,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차.pdf | 한국수출입은행_(긴급) 모잠비크 마푸토 지능형교통시스템(ITS) 구축사업.hwp | 서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
visual-pdf-figure-002,고려대학교 차세대 포털·학사 정보시스템의 목표시스템 구성도에서 왼쪽 접근 채널 4개와 오른쪽 외부연계 대상 10개를 모두 말해라.,hybrid,1.0,1.0,1,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf | 서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육.hwp | KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .hwp,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0,True,1.0,1.0,1.0
